seed,optimized_design_envelope,hydrogel_tau_s,final_leak_conductance_ratio,initial_leak_conductance,mean_channel_radius_um,source_pressure_Pa,zeta_potential_mV,conductivity_S_m,baseline_out_uL_s,peak_leak_uL_s,post_leak_uL_s,leak_reduction_pct,flow_retention_pct,isolation_time_s,expected_sensor_effect_sigma,pass_isolation,pass_retention,pass_sensor,pass_all
0,True,90.0870895595757,0.009979293945049717,5.098703398337508e-12,95.42807200195644,989.9711392413005,-27.208033076635893,0.008728734909681167,1.961081647289643,0.9629698754024048,0.02392495579276556,97.51550319445165,99.29794085657008,220.00839233398438,160.68921259435817,True,True,True,True
1,True,66.35783608589583,0.019591398499295247,6.515691703281463e-12,86.26960440238044,1142.0517800779444,-29.02687875376013,0.009635671161813218,1.377250483976828,1.2478568464290594,0.07886127116248033,93.68026297342084,97.49464443528078,202.77875900268555,295.3794741337199,True,True,True,True
2,True,71.57204602008804,0.02287747302735969,7.898602255120924e-12,92.85523320795896,1075.103493021295,-27.29100225448962,0.009659142759196129,1.9774235588224685,1.020146017640286,0.07913296520162676,92.24297660989058,97.70658231704796,228.80138397216797,205.92224075873156,True,True,True,True
3,True,95.10267530889435,0.009415522753316183,9.398157435415948e-12,88.96756885916645,951.8612946565388,-29.7424298494789,0.009605414442234556,1.5919923935091853,1.2713614361386305,0.055088735784942,95.6669492860931,98.4858294841315,288.99728775024414,329.1816460372491,True,True,True,True
4,True,92.42973727731692,0.02105910620590275,5.613420556079454e-12,99.88155970850973,865.9296260379908,-24.844215232292992,0.009952330977139863,1.910378457606278,1.2275849633526794,0.05730800531527873,95.33164652336863,98.60273875165596,231.2822151184082,146.1311159843845,True,True,True,True
5,True,89.39969012101633,0.009785858081858802,7.45556467767094e-12,88.86798520734916,1048.099753513938,-29.165359129710556,0.008689378552000873,1.5658253497435124,0.8803222812429492,0.034976937205779074,96.02680314345852,98.69723521521362,265.87085723876953,255.81990540161232,True,True,True,True
6,True,91.55123709839354,0.0333035662421701,7.189355436444512e-12,93.08794186826995,1035.2662635282961,-32.59811134082359,0.009857439659039657,1.831727857640743,1.3109065275774943,0.12134786871079391,90.74320966766103,96.68063396337257,280.30189514160156,287.7103764786439,True,True,True,True
7,True,62.03489902307808,0.02256292940754115,9.321385142616797e-12,96.57045559858166,1002.5055799690386,-31.655262189436893,0.008947830098009098,2.125884681711252,1.4546499014715142,0.10208019620813917,92.98249041883717,97.63466187268722,191.09638214111328,259.8220135483583,True,True,True,True
8,True,63.093699482680016,0.02001550501668182,1.1471273485602505e-11,83.79107744505838,977.0040517125756,-26.814968635143252,0.010732083822195208,1.1686894239406491,0.9434065717496176,0.09337835786374434,90.10200260842286,95.61300603149067,237.5625991821289,193.56308793563022,True,True,True,True
9,True,65.81067569436108,0.015633778027750928,9.55008548329421e-12,89.04999085943727,906.0438521954082,-30.969442137737133,0.011248137582054585,1.5217339915211825,1.0926732036517772,0.06275403931020967,94.256833690029,97.85899914835305,206.63278579711914,181.7910040331021,True,True,True,True
10,True,99.83868052593714,0.03159218934147625,6.435697642968878e-12,88.96606343631417,1026.5043712876868,-26.304214953326934,0.007817852335393193,1.6662512839921553,0.935375940885502,0.09429399896953733,89.91913359667227,96.88606892665335,319.7999954223633,196.76769617315458,True,True,True,True
11,True,77.0300830512312,0.022694992416802263,5.0845797423451115e-12,89.61914565988785,1092.2487168198052,-31.75248207446623,0.011175932255618694,1.8411720878031124,1.1013123296143161,0.06681010545640195,93.93359143815277,98.33429178428348,218.3537483215332,272.1335321040974,True,True,True,True
12,True,90.59003519079197,0.01970587354317105,8.155592434640322e-12,77.83873919056465,964.5932857836319,-29.88944931149384,0.009330528749862673,0.8303170343626709,0.6281268017461619,0.07528003387379414,88.01515336321913,95.5105451706066,365.48315048217773,278.21073988123,True,True,True,True
13,True,72.02597099978222,0.018923583176824195,5.791737964989729e-12,91.56603022915385,989.6346994911869,-36.961068343523074,0.008634672737623587,1.6421367885670244,1.0124631582899808,0.051297566844037586,94.93338928690723,98.38239059093223,200.52263259887695,309.1564007045815,True,True,True,True
14,True,58.18075446634712,0.01353987381828878,8.0263166521303e-12,90.93279472888707,1123.7354662242374,-28.03554988214197,0.010746775830772968,1.686977153324483,1.1242822232987155,0.05979817936565761,94.68121276611437,98.25885588843006,185.7125473022461,278.9787897478759,True,True,True,True
15,True,63.93278459357256,0.010251920207637889,6.277642618057284e-12,86.97698980965883,908.421490268438,-30.89956867884744,0.00970599155444611,1.2102824322100914,0.7848220879285787,0.0256161320673099,96.73605872447858,98.82395394164185,182.5167465209961,178.93338294798778,True,True,True,True
16,True,75.5715959888633,0.0304033220497377,7.102488206832924e-12,76.47970183376742,1018.6382756238049,-32.49402478280469,0.010886390771512138,0.7964023474637385,0.8610894618891439,0.11052871874454713,87.16408414730124,93.7829737430546,295.55912017822266,246.89542220520343,True,True,True,True
17,True,62.626853753257826,0.0058480094991875675,7.606515254055768e-12,96.10156688615805,916.6895912912676,-28.677493087600606,0.009796352974966723,1.9897473343447658,1.198834743414975,0.018506155385814564,98.45632139980374,99.49075520923088,162.1072006225586,151.89442924544548,True,True,True,True
18,True,76.05460876328742,0.016009524882031348,1.0146576829111605e-11,85.16460704916837,962.8058916845482,-31.069062187804203,0.012491284141813587,1.3464158399291493,1.084578712490021,0.08289561642702833,92.35688332507347,97.23510961622891,265.66431045532227,247.92549027878593,True,True,True,True
19,True,108.88701162430151,0.011735695721772917,1.0648132662519989e-11,93.20717231794605,944.5372839922007,-25.22283539998003,0.008848678884324434,1.755538388246035,1.323824241328761,0.07336684789997647,94.45796159267064,97.81572485267314,324.0716552734375,206.38936423431292,True,True,True,True
20,True,103.76028234742806,0.024314815317470127,8.668117189614173e-12,89.68220739683595,865.127923719506,-30.588692274128356,0.009429264579961783,1.4103413307583745,0.9628182879827663,0.09940810782572099,89.67529916429045,96.64041298587183,354.9265670776367,279.5804148414429,True,True,True,True
21,True,90.6862366779803,0.030337325037378904,9.017506359767416e-12,100.45235484346121,988.4869113542038,-25.816787901590402,0.008633635104170456,2.4733615070653667,1.3176660510805258,0.1262959606697771,90.41517685257121,97.33729116226442,291.0968017578125,236.54728059842128,True,True,True,True
22,True,131.93120572541804,0.019737795439845118,7.421159561310476e-12,97.90222476767336,986.6727234907188,-29.011157565881287,0.009029079924987549,1.966810221696702,1.2749387977929139,0.10382998416710457,91.85608090781707,97.30961497582462,369.66175079345703,219.55135344112477,True,True,True,True
23,True,119.42516684232375,0.03557580250025962,1.051817017167285e-11,96.86836351534006,1006.266579236442,-32.33852465402057,0.011793981753036338,2.508018035915135,1.5493616209143906,0.21007713158065988,86.44105231826525,95.99009746800374,419.3487358093262,241.009550234903,True,True,True,True
24,True,60.445909896141465,0.018591106757570114,5.770799829224403e-12,86.29845753436487,938.7643213102933,-33.45603954642669,0.008893146379158145,1.208254154567106,0.7256127612472704,0.04075467417076659,94.38341270339394,98.04216761474076,178.83522033691406,164.4642600695117,True,True,True,True
25,True,97.14828089848204,0.008301710552692102,5.861932830911644e-12,79.2144491841382,878.7147624149867,-36.84050796896429,0.00986635994810902,0.7356414170868666,0.5895131383255263,0.024939520590873936,95.76947162505776,98.22940383141263,298.77307891845703,238.26878808093014,True,True,True,True
26,True,95.69596242251154,0.02198586487896097,1.0495653276240136e-11,85.41001997179696,1151.7733460138038,-28.325073707885885,0.01077645322263082,1.496154169364005,1.2725435005172818,0.1498578661639977,88.22375297166019,95.72293500836466,368.4360885620117,325.72385980346996,True,True,True,True
27,True,149.39691680261228,0.019339371230844633,9.306747768105877e-12,92.27422658036309,920.4935958043001,-27.757490767092474,0.009405693080016406,1.6853571614723544,1.33821297887451,0.16465765534185978,87.69570629330292,95.70867409145332,462.84839630126953,258.7140741676767,True,True,True,True
28,True,102.68750611327498,0.01585708591245455,9.62379020741934e-12,85.49725823767393,1094.0059664855949,-28.642597020361706,0.01042354478588784,1.434028059275495,0.8968129653992352,0.08995720307497544,89.96923477406138,96.82716483193107,380.3227424621582,327.6386034482919,True,True,True,True
29,True,106.76860233762154,0.02779342672538172,1.0354586502407375e-11,86.77502624274989,1019.3443170227165,-24.702823033991006,0.008715249183990907,1.3661673316053953,0.9766219033527922,0.15753690943648252,83.8692016945708,94.78073321475694,467.7192687988281,353.5163329456384,True,True,True,True
30,True,104.47992591141697,0.03272751665380153,1.5904638923902224e-11,92.84472578617837,1045.8759531091366,-32.22491419409331,0.008940445655211576,1.9721672917523507,1.570336260596033,0.28543650410478294,81.82322402741669,93.65903293134467,511.5866279602051,429.6995166493347,True,True,True,True
31,True,99.81552444732282,0.023643639319541332,9.035080570769037e-12,98.3030827941763,982.3153090230942,-30.96736817931942,0.009454947928164863,2.2726750847414205,1.3551326989779107,0.10151575357979921,92.50879610119614,97.58915493017406,295.93589782714844,159.69097335356463,True,True,True,True
32,True,75.25624690359281,0.020959635761239454,1.037969013014974e-11,90.53885501538389,858.6850211758688,-30.665437805453816,0.009877655743791368,1.422031785386176,1.115815786936381,0.09662536448731114,91.34038381437416,96.90713865531086,259.29540634155273,282.98691180053964,True,True,True,True
33,True,96.51172752323528,0.01870978446519484,8.168832334416955e-12,86.98338911867961,973.3256427694953,-27.89455446600715,0.01020177635405173,1.4073221638937228,0.8645137986917905,0.07647042973555927,91.15451600063797,97.26896672306651,332.086124420166,274.60951740353835,True,True,True,True
34,True,109.72616746465988,0.02600066042953407,1.1422311853322868e-11,91.97164279230891,984.1469948700374,-27.96298811420753,0.009648077160183626,1.717461157063883,1.3362331435878758,0.15609016433952733,88.31864296372602,95.48424366493441,387.7175712585449,225.86563291276235,True,True,True,True
35,True,96.44898978931853,0.038579849747890915,6.180730493821577e-12,93.42464658028803,1072.148939140399,-30.815353020126327,0.009180523681167632,1.993104384414644,1.2865477398805536,0.13206920982055811,89.73460480892689,96.85208026945499,298.0649185180664,277.2464778601962,True,True,True,True
36,True,64.16176349367589,0.01691734897775749,4.890813152627986e-12,80.7110837116677,912.4353676310621,-28.631433787424278,0.009361829746530614,0.6922252949287283,0.5171424647914372,0.03426829060639756,93.37352993817325,97.40234349231017,209.57891464233398,196.89566652483228,True,True,True,True
37,True,99.86781694510412,0.02051285330504182,6.992123775267576e-12,100.7599706579687,1020.9163533724875,-30.438990380511637,0.00954140181281092,2.760232426941979,1.5899783811208785,0.0835481496089995,94.74532794904412,98.55827689506096,260.8229446411133,216.6124180402674,True,True,True,True
38,True,82.81505052128969,0.024690276173139916,6.8791502700387415e-12,77.42208988882946,1161.0382648223163,-30.097107339705392,0.009321592573064974,1.1245968793548842,1.0385793582139684,0.11442845124523546,88.98221398873008,96.1034831070182,307.25284576416016,452.2754777377953,True,True,True,True
39,True,93.40279481266433,0.0128987986540074,1.0475754681546477e-11,86.4451596270615,912.5837168481477,-28.268619484150715,0.009956496965581967,1.1771975994332415,0.9503384742198787,0.06313196300032421,93.35689707268261,97.19953726731634,312.8863525390625,212.02320938126059,True,True,True,True
40,True,80.02335137070126,0.03373654848662291,8.233269517349414e-12,83.79469957845335,936.9233431455381,-28.02649666232041,0.010832032550258696,1.0127077037803143,1.0142461185295204,0.13908263784274055,86.28709192948295,94.34419026807176,318.61291885375977,211.16972129835403,True,True,True,True
41,True,119.06552733555404,0.03267157431422207,8.438593805718377e-12,103.24617819190269,905.0973897411079,-24.420613419444308,0.011355234967311174,2.6421459410573642,1.7410574891152437,0.1649608134563624,90.52525178015858,97.40688757669952,343.93646240234375,149.88005974698856,True,True,True,True
42,True,85.23902691941508,0.03032476483449259,8.917554876453469e-12,87.36154999836872,1104.8852628596699,-29.283495896484112,0.010554625873952778,1.471749140177552,0.9628755213364438,0.12604270633675785,86.90976107048456,95.34668483995624,333.8973808288574,236.61877621220177,True,True,True,True
43,True,120.1610288416962,0.029514962038807796,4.8875175172113065e-12,87.45711968584112,955.5424172293413,-30.928350161065158,0.011264640500011655,1.4731571241190533,0.7498292169811615,0.0762511212805004,89.83086820923168,97.31598267215543,367.6893424987793,229.0622320976954,True,True,True,True
44,True,74.30987283153581,0.025128677776970632,1.0941002426077496e-11,83.03505758298513,997.0753324686904,-29.072610938292566,0.010537191869724459,1.1852444684427799,0.8987134047783514,0.12189717759146222,86.436479422322,94.80585946958638,316.0866928100586,259.7377932397217,True,True,True,True
45,True,89.45075435743892,0.031959494330503685,1.084807800616904e-11,98.75791842772436,823.9911543437054,-30.331437318291872,0.008235136043221923,1.7748942320793106,1.2470023251442246,0.1333851352204344,89.30353756918556,96.14051876338316,302.1209526062012,205.50803401175068,True,True,True,True
